Field_ID,FieldCall,Desc,BaseMapUnit,MapUnit,SiteSeries,Association,ForNonfor,Type,Type2,Type3,Full,Alliance,Class,Group,Realm,ExpectedPhysiog,Will to check,order,ColorType,RGB_Colour,Class_ID,Group_ID,Realm_ID,Physiog_ID,Map_ID,Notes
Adrian/amenita,01c,,SBSmc2_01c,SBSmc2_01,SBSmc2_02,,For,For,For,For,SBSmc2_01,,Tm,T,T,6,,18,-1,,0,0,1,1,16,
19,SBSmc2/01,,SBSmc2_01,SBSmc2_01,SBSmc2_01,,For,For,For,For,SBSmc2_01,,Tm,T,T,6,,17,0,120873,0,0,1,1,16,
72,SBSmc2/01a,,SBSmc2_01a,SBSmc2_01,SBSmc2_01,,For,For,For,For,SBSmc2_01,,Tm,T,T,6,,72,,,0,0,1,1,16,
20,SBSmc2/01c,,SBSmc2_01c,SBSmc2_01,SBSmc2_02,,For,For,For,For,SBSmc2_01,,Tm,T,T,6,,18,-1,,0,0,1,1,16,
21,SBSmc2/02,,SBSmc2_02,SBSmc2_02,SBSmc2_02,,For,Treed,For,For,SBSmc2_02,,Tx,T,T,6,,19,-3,,0,0,1,1,17,
22,SBSmc2/03,,SBSmc2_03,SBSmc2_03,SBSmc2_03,,For,For,For,For,SBSmc2_03,,Tc,T,T,6,,20,-2,,0,0,1,1,18,
,SBSmc2/04,,SBSmc2_04,SBSmc2_04,SBSmc2_04,,For,For,For,For,SBSmc2_04,,Thg,T,T,6,,,,,,,,,,
23,SBSmc2/05,,SBSmc2_05,SBSmc2_05,SBSmc2_05,,For,For,For,For,SBSmc2_05,,Thg,T,T,6,,21,1,,0,0,1,1,19,
24,SBSmc2/06,,SBSmc2_06,SBSmc2_06,SBSmc2_06,,For,For,For,For,SBSmc2_06,,Thg,T,T,6,,22,2,,0,0,1,1,20,
25,SBSmc2/07,,SBSmc2_07,SBSmc2_07,W_t,,For,For,For,For,W_t,,Thg,T,T,6,,23,3,,0,0,1,1,21,
,SBSmc2/08,,SBSmc2_08,SBSmc2_08,SBSmc2_08,,For,For,For,For,SBSmc2_08,,Thg,T,T,6,,,,,,,,,,
26,SBSmc2/09,,SBSmc2_09,SBSmc2_09,SBSmc2_09,,For,For,For,For,SBSmc2_09,,Thg,T,T,6,,24,4,,0,0,1,1,22,
27,SBSmc2/10,,SBSmc2_10,SBSmc2_10,SBSmc2_10,,For,For,For,For,SBSmc2_10,,Thd,T,T,6,,25,5,,0,0,1,1,23,
28,SBSmc2/10a,,SBSmc2_10a,SBSmc2_10a,SBSmc2_10,,For,For,For,For,SBSmc2_10,,Thd,T,T,6,,26,5,,0,0,1,1,23,
29,SBSmc2/10b,,SBSmc2_10b,SBSmc2_10b,SBSmc2_10,,For,For,For,For,SBSmc2_10,,Thd,T,T,6,,27,5,,0,0,1,1,23,
,SBSmc2/12,,SBSmc2_12,SBSmc2_12,W_t,,For,For,For,For,W_t,,Thd,T,T,6,,,,,,,,,,
,ESSFmc/Sc,,Sc,Sc,,Sc,Nfor,Nfor,Nfor,Nfor,W,,Sc,S,,3b,,,,,,,,,,
37,ESSFmc/Sc03,,Sc03,Sc,,Sc,Nfor,Nfor,Nfor,Nfor,W,,Sc,S,T,3b,,40,40,,700,700,1,2,700,
38,ESSFmcw/Sc03,,Sc03,Sc,,Sc,Nfor,Nfor,Nfor,Nfor,W,,Sc,S,T,3b,,41,40,,700,700,1,2,700,
39,Sc,,Sc,Sc,,Sc,Nfor,Nfor,Nfor,Nfor,W,,Sc,S,T,3b,,42,40,,700,700,1,2,700,
,Sc/Ag,,Sc,Sc,,,Nfor,Nfor,Nfor,Nfor,W,,Sc,,,,,,,,,,,,,
,Sc?,,Sc,Sc,,Sc,Nfor,Nfor,Nfor,Nfor,W,,Sc,S,T,3b,,42,40,,700,700,1,2,700,
78,Sk,sub-alpine Krumholtz,Sk,Sk,,Sk,Nfor,Nfor,Nfor,Nfor,,,Sk,S,,3,y,80,,,,,,,,
will/hardy,wetland,,W,W,,,Nfor,Nfor,Nfor,Nfor,W,,,,W,,,,,,,,,,,
,ESSFmc/Wa,,Wa,Wa,,Wa,Nfor,Nfor,Nfor,Nfor,W,,Wa,M,W,2,,,,,,,,,,
,Hs,,Wa,Wa,,Wa,Nfor,Nfor,Nfor,Nfor,W,,Wa,,,,,,,,,,,,,
67,Wa,,Wa,Wa,,Wa,Nfor,Nfor,Nfor,Nfor,Wat,,Wa,M,W,,,64,24,,1500,1000,4,2,1500,
,ESSFmc/Wb,,Wb,Wb,,Wb,Nfor,Treed,For,TreedWet,Wb,,Wb,P,W,6,,,,,,,,,,
,ESSFmc/Wb10,,Wb10,Wb,,Wb,Nfor,Treed,For,TreedWet,Wb,,Wb,P,W,6,,,,,,,,,,
